date_min_t;lon_t;lat_t;min_t;hora
2012 01 02 02 45;-74.836;5.913;226.5;02
2012 01 03 01 15;-74.836;5.77;207.5;01
2012 01 07 01 15;-74.836;5.484;215.1;01
2012 01 13 21 45;-73.836;6.915;215.3;21
2012 01 16 03 45;-74.264;6.056;214.8;03
2012 01 16 22 45;-74.693;5.77;199.6;22
2012 01 17 22 15;-74.836;5.77;204.8;22
2012 01 19 02 45;-74.264;6.628;221.7;02
2012 01 19 05 15;-74.407;5.913;211.2;05
2012 01 19 20 15;-73.979;7.344;223.5;20
2012 01 25 01 45;-73.407;7.344;220.6;01
2012 01 31 00 45;-74.121;6.342;205.4;00
2012 01 30 21 15;-74.407;6.342;229.0;21
2012 02 04 20 45;-73.55;6.772;212.1;20
2012 02 08 03 45;-73.836;6.915;214.1;03
2012 02 10 03 45;-73.55;7.201;209.6;03
2012 02 11 01 45;-73.407;7.344;227.5;01
2012 02 11 03 15;-73.836;7.344;208.8;03
2012 02 22 00 45;-73.979;6.772;230.0;00
2012 02 24 21 45;-74.55;5.627;200.6;21
2012 02 25 21 15;-74.121;6.485;208.8;21
2012 02 29 21 15;-74.55;6.485;220.7;21
2012 03 02 22 45;-74.407;6.342;190.4;22
2012 03 04 20 15;-73.693;7.344;200.1;20
2012 03 08 03 15;-74.836;5.055;208.3;03
2012 03 09 01 15;-74.264;6.915;198.4;01
2012 03 13 00 45;-74.264;6.628;193.4;00
2012 03 14 02 15;-73.979;8.059;223.6;02
2012 03 15 23 15;-74.836;5.913;196.0;23
2012 03 15 21 15;-73.979;6.199;208.3;21
2012 03 16 22 45;-74.693;5.484;193.6;22
2012 03 17 20 15;-74.836;5.627;213.8;20
2012 03 20 23 15;-74.693;5.627;196.1;23
2012 03 20 21 15;-74.693;6.199;213.6;21
2012 03 25 02 15;-74.264;6.056;197.9;02
2012 03 26 03 45;-73.264;7.344;196.9;03
2012 03 26 04 45;-74.693;5.627;217.9;04
2012 03 26 03 45;-74.55;6.628;217.5;03
2012 03 28 00 15;-73.693;7.916;205.2;00
2012 03 29 23 45;-74.836;5.77;201.6;23
2012 03 31 21 45;-73.979;6.485;192.3;21
2012 04 01 20 15;-73.979;6.628;191.8;20
2012 04 02 23 15;-74.693;6.199;188.5;23
2012 04 03 22 15;-74.264;6.056;190.3;22
2012 04 03 21 15;-73.979;6.915;221.9;21
2012 04 05 04 15;-74.407;6.628;213.9;04
2012 04 07 02 45;-74.55;6.342;197.8;02
2012 04 07 05 45;-73.836;8.345;204.9;05
2012 04 08 01 45;-74.121;6.199;213.6;01
2012 04 11 05 45;-73.407;7.344;210.7;05
2012 04 11 03 15;-73.836;6.772;220.0;03
2012 04 11 02 45;-73.836;6.628;221.8;02
2012 04 14 01 45;-73.693;8.059;197.0;01
2012 04 14 00 45;-73.693;8.202;198.5;00
2012 04 18 04 45;-74.693;5.627;215.5;04
2012 04 19 02 45;-73.55;7.63;193.4;02
2012 04 19 00 45;-73.407;7.773;216.7;00
2012 04 20 22 15;-74.693;5.627;190.3;22
2012 04 21 02 45;-73.836;7.63;199.6;02
2012 04 22 20 15;-73.407;7.201;215.3;20
2012 04 23 03 15;-73.55;6.915;223.2;03
2012 04 23 21 45;-74.264;6.772;185.8;21
2012 04 25 20 45;-74.264;6.628;227.8;20
2012 04 26 02 15;-73.836;7.916;192.2;02
2012 04 27 02 45;-73.693;8.059;187.1;02
2012 04 28 03 45;-74.836;5.627;195.1;03
2012 04 30 03 45;-74.836;5.627;196.5;03
2012 05 01 05 45;-73.979;8.202;202.1;05
2012 05 02 03 45;-73.836;8.059;194.5;03
2012 05 03 04 15;-73.979;7.773;202.7;04
2012 05 04 03 45;-73.836;8.202;192.7;03
2012 05 04 04 45;-73.55;7.916;194.6;04
2012 05 04 22 45;-73.407;7.344;187.4;22
2012 05 06 22 45;-74.121;7.63;209.8;22
2012 05 09 03 15;-74.121;6.772;192.8;03
2012 05 10 04 15;-74.407;5.77;209.7;04
2012 05 11 04 15;-73.979;7.63;188.9;04
2012 05 11 01 15;-73.407;7.63;201.5;01
2012 05 10 22 45;-74.55;6.056;203.8;22
2012 05 11 00 45;-73.407;7.63;200.9;00
2012 05 14 23 45;-74.121;7.344;209.2;23
2012 05 19 00 45;-73.836;7.487;191.0;00
2012 05 21 21 45;-74.836;5.627;191.6;21
2012 05 21 20 15;-74.264;6.915;229.8;20
2012 05 22 00 45;-73.836;7.487;220.1;00
2012 05 22 03 15;-73.836;7.916;223.4;03
2012 05 23 23 45;-74.407;6.199;191.1;23
2012 05 25 03 15;-73.836;8.059;197.3;03
2012 05 30 03 45;-74.121;7.344;189.6;03
2012 05 30 02 45;-74.55;6.628;215.8;02
2012 05 30 02 45;-73.693;7.487;193.2;02
2012 06 05 01 15;-73.693;7.344;217.3;01
2012 06 10 22 15;-74.121;7.63;208.4;22
2012 06 13 00 45;-74.264;6.056;216.1;00
2012 06 13 04 15;-73.407;7.344;210.0;04
2012 06 16 02 45;-73.693;8.059;189.6;02
2012 06 20 05 15;-74.121;7.344;214.7;05
2012 06 21 01 15;-73.407;7.773;199.5;01
2012 06 24 04 45;-73.836;7.487;194.0;04
2012 06 23 22 15;-74.407;5.77;228.5;22
2012 06 23 23 45;-74.264;6.199;203.6;23
2012 06 24 01 15;-73.836;8.059;201.7;01
2012 06 25 00 15;-73.979;6.342;201.6;00
2012 06 25 03 15;-73.55;7.058;206.8;03
2012 06 29 22 45;-74.836;5.627;196.2;22
2012 06 30 05 15;-73.55;7.344;205.1;05
2012 07 01 04 15;-73.979;8.059;198.9;04
2012 07 03 04 15;-74.55;6.628;197.5;04
2012 07 04 00 15;-73.979;7.487;191.2;00
2012 07 04 20 45;-74.55;5.913;195.1;20
2012 07 04 23 45;-73.407;7.487;200.3;23
2012 07 05 22 45;-74.55;6.199;190.9;22
2012 07 11 21 15;-74.836;5.627;195.5;21
2012 07 12 01 15;-73.693;7.487;202.0;01
2012 07 13 05 45;-73.979;7.201;206.9;05
2012 07 13 05 45;-73.979;7.201;206.9;05
2012 07 14 22 45;-73.979;7.344;209.3;22
2012 07 19 02 45;-73.407;7.916;197.1;02
2012 07 21 22 45;-73.407;7.916;206.2;22
2012 07 26 02 45;-73.979;6.199;195.8;02
2012 07 30 00 45;-74.693;6.199;190.6;00
2012 08 02 00 15;-74.264;6.342;188.2;00
2012 08 02 00 45;-74.407;6.628;189.9;00
2012 08 01 23 15;-73.55;8.059;228.9;23
2012 08 04 20 45;-74.55;6.199;195.9;20
2012 08 05 20 45;-74.55;6.772;194.4;20
2012 08 05 20 45;-73.836;7.344;209.9;20
2012 08 07 04 45;-73.979;7.344;202.2;04
2012 08 08 00 15;-73.693;7.63;207.8;00
2012 08 13 20 15;-74.264;6.628;188.4;20
2012 08 16 04 15;-74.121;6.199;219.9;04
2012 08 22 03 15;-73.979;7.201;223.6;03
2012 08 22 03 15;-73.979;7.201;223.6;03
2012 09 02 03 45;-74.407;6.915;196.3;03
2012 09 03 01 15;-74.264;6.915;199.2;01
2012 09 06 23 15;-74.121;7.058;197.7;23
2012 09 11 01 15;-73.979;7.63;196.7;01
2012 09 10 21 45;-74.121;7.201;202.5;21
2012 09 11 04 45;-74.693;5.484;217.9;04
2012 09 12 00 15;-74.836;5.484;224.8;00
2012 09 16 05 45;-73.979;6.199;217.8;05
2012 09 19 00 15;-74.407;6.915;200.3;00
2012 09 20 00 15;-74.55;6.056;228.8;00
2012 09 20 03 15;-73.836;7.487;224.7;03
2012 09 21 02 15;-73.55;8.059;192.4;02
2012 09 22 01 15;-73.693;7.487;193.0;01
2012 09 22 21 45;-74.55;5.77;191.5;21
2012 10 19 20 45;-74.121;6.342;203.6;20
2012 10 22 01 45;-73.407;7.058;201.1;01
2012 10 23 20 15;-74.121;6.199;190.2;20
2012 10 26 23 15;-73.693;7.916;205.5;23
2012 10 30 00 45;-74.693;5.627;190.0;00
2012 10 29 23 15;-74.836;5.484;196.1;23
2012 10 31 22 15;-74.693;5.913;206.0;22
2012 11 01 00 15;-74.407;7.058;226.3;00
2012 11 01 01 45;-73.55;7.058;220.2;01
2012 11 02 22 15;-74.836;5.055;193.5;22
2012 11 02 21 45;-74.264;6.772;208.5;21
2012 11 03 00 45;-73.836;7.63;204.6;00
2012 11 03 23 15;-74.407;6.628;213.3;23
2012 11 07 02 45;-73.55;7.773;216.9;02
2012 11 09 00 45;-74.121;6.915;203.6;00
2012 11 08 21 45;-73.836;7.344;210.5;21
2012 11 09 01 15;-74.121;6.772;203.2;01
2012 11 10 23 45;-73.407;7.201;197.2;23
2012 11 11 01 15;-73.55;7.058;199.8;01
2012 11 12 00 45;-73.979;6.342;205.4;00
2012 11 13 21 45;-73.979;7.487;222.4;21
2012 11 14 03 45;-73.979;7.058;225.4;03
2012 11 15 01 15;-73.55;7.201;192.7;01
2012 11 15 03 15;-73.693;6.628;197.6;03
2012 11 16 01 45;-73.55;7.344;202.0;01
2012 11 18 00 15;-74.407;5.913;196.1;00
2012 11 19 02 15;-74.264;6.915;223.3;02
2012 11 19 03 45;-74.836;5.055;220.9;03
2012 11 21 02 15;-74.836;5.627;207.5;02
2012 11 21 04 45;-74.264;6.199;202.3;04
2012 11 21 20 15;-74.121;6.772;194.4;20
2012 11 22 01 15;-74.693;6.199;212.6;01
2012 11 22 02 15;-73.407;7.773;205.9;02
2012 11 23 03 15;-73.407;7.344;199.6;03
2012 11 24 04 45;-73.979;7.058;216.4;04
2012 11 27 01 45;-73.693;7.344;206.8;01
2012 11 28 00 45;-73.836;7.63;225.0;00
2012 11 28 05 15;-74.55;6.342;208.5;05
2012 11 28 21 45;-74.121;6.628;209.0;21
2012 11 29 00 15;-73.407;7.344;226.1;00
2012 11 30 01 15;-74.264;6.056;225.2;01
2012 11 30 04 15;-73.836;6.485;224.4;04
2012 11 30 04 15;-73.836;6.485;224.4;04
2012 12 01 00 15;-73.836;7.201;206.1;00
2012 12 02 23 15;-73.693;7.058;230.0;23
2012 12 03 00 15;-74.121;7.344;224.1;00
2012 12 03 01 45;-73.407;7.201;224.9;01
2012 12 08 05 15;-73.264;7.344;218.3;05
2012 12 09 22 45;-74.836;5.913;202.7;22
2012 12 11 22 15;-74.121;6.915;203.0;22
2012 12 11 23 45;-74.836;5.484;195.1;23
2012 12 12 03 15;-73.979;6.485;212.6;03
2012 12 13 03 15;-74.407;5.913;201.0;03
2012 12 12 22 45;-74.121;6.342;218.4;22
2012 12 13 23 15;-73.836;7.487;194.6;23
2012 12 14 22 45;-73.979;6.772;219.7;22
2012 12 15 04 15;-73.55;7.058;213.7;04
2012 12 20 23 15;-74.836;5.77;206.1;23
2012 12 21 20 45;-73.979;6.915;199.5;20
2012 12 22 20 45;-73.979;7.344;201.6;20
2012 12 25 22 15;-73.693;7.487;205.4;22
