date_min_t;lon_t;lat_t;min_t;hora
2013 09 01 15 15;-73.55;8.059;209.0;15
2013 09 04 16 45;-73.836;6.772;229.9;16
2013 09 06 08 15;-73.836;7.63;202.8;08
2013 09 06 16 15;-73.836;6.485;203.7;16
2013 09 06 15 45;-73.55;8.202;219.7;15
2013 09 06 16 15;-73.836;6.485;203.7;16
2013 09 08 06 45;-73.693;7.487;206.6;06
2013 09 08 19 45;-73.55;6.772;223.2;19
2013 09 11 11 15;-73.407;7.773;207.5;11
2013 09 11 10 45;-73.407;7.773;213.1;10
2013 09 12 14 45;-73.407;7.916;217.9;14
2013 09 13 12 45;-74.121;7.201;225.0;12
2013 09 14 13 15;-74.121;7.201;226.7;13
2013 09 15 19 45;-74.407;6.485;190.4;19
2013 09 17 08 45;-74.121;6.915;200.3;08
2013 09 19 15 15;-73.979;6.628;205.5;15
2013 09 19 14 15;-73.836;6.628;215.0;14
2013 09 24 19 15;-74.121;7.63;229.2;19
2013 10 07 16 15;-73.55;7.058;200.5;16
2013 10 15 17 45;-73.407;7.63;211.8;17
2013 10 17 11 45;-73.693;6.628;225.8;11
2013 10 18 19 15;-74.693;5.341;197.6;19
2013 10 27 09 15;-73.836;7.344;220.4;09
2013 10 27 14 45;-73.264;7.63;199.9;14
2013 11 06 13 45;-73.407;7.916;222.3;13
2013 11 07 15 45;-73.979;8.345;215.4;15
2013 11 10 17 45;-74.121;6.056;218.6;17
2013 11 17 16 45;-74.264;7.058;201.7;16
2013 11 17 16 15;-73.407;7.916;228.5;16
2013 11 17 16 45;-73.407;7.773;226.2;16
2013 11 18 14 45;-74.55;6.056;223.6;14
2013 11 19 14 15;-74.693;6.199;212.3;14
2013 11 19 18 45;-73.264;7.63;218.9;18
2013 11 20 06 15;-73.407;7.344;214.0;06
2013 11 22 07 15;-74.264;6.199;214.0;07
2013 11 23 06 45;-74.121;6.056;216.4;06
2013 11 24 11 15;-74.264;6.772;211.0;11
2013 11 25 07 45;-74.693;5.341;212.2;07
2013 11 26 18 45;-74.836;5.913;229.0;18
2013 11 28 15 15;-74.121;7.058;221.4;15
2013 12 01 19 15;-73.979;7.344;228.1;19
2013 12 03 09 45;-73.407;7.63;205.1;09
2013 12 03 12 15;-74.121;6.342;219.9;12
2013 12 06 18 45;-74.55;6.628;226.9;18
2013 12 06 19 15;-74.121;7.344;224.5;19
2013 12 07 15 45;-73.55;8.059;223.4;15
2013 12 08 18 45;-74.407;6.772;228.9;18
2013 12 10 18 15;-74.407;7.058;215.5;18
2013 12 16 06 45;-74.121;7.058;208.1;06
2013 12 17 18 15;-74.121;7.344;204.3;18
2014 01 02 19 15;-73.836;7.344;223.5;19
2014 01 05 17 15;-74.121;7.201;215.4;17
2014 01 06 17 15;-73.407;7.773;202.6;17
2014 01 06 16 15;-73.407;7.916;204.8;16
2014 01 07 16 45;-74.264;6.915;208.2;16
2014 01 07 12 45;-74.407;6.342;224.2;12
2014 01 07 15 15;-74.121;6.628;229.7;15
2014 01 07 15 45;-74.264;7.058;227.1;15
2014 01 20 08 15;-73.836;7.487;222.5;08
2014 01 21 07 15;-74.693;5.77;216.2;07
2014 01 22 12 45;-73.55;6.915;205.8;12
2014 01 25 19 45;-73.979;7.344;225.6;19
2014 01 26 07 15;-74.836;5.341;214.8;07
2014 01 28 19 45;-74.407;6.772;209.1;19
2014 01 30 19 45;-74.264;7.058;213.8;19
2014 02 09 06 45;-74.836;5.627;222.2;06
2014 02 10 06 45;-74.55;6.056;199.6;06
2014 02 10 08 15;-74.836;5.055;217.1;08
2014 02 10 17 15;-74.121;7.63;221.3;17
2014 02 10 19 15;-73.979;7.344;222.8;19
2014 02 13 17 15;-73.55;8.202;207.3;17
2014 02 14 17 15;-73.55;8.059;210.0;17
2014 02 22 19 45;-74.121;7.63;224.4;19
2014 02 23 19 15;-74.407;6.772;207.1;19
2014 02 23 18 15;-74.55;6.772;224.1;18
2014 02 26 19 15;-73.836;7.201;209.3;19
2014 02 26 19 15;-74.407;6.772;215.8;19
2014 02 27 08 15;-73.55;6.772;223.9;08
2014 02 27 14 15;-73.693;7.344;215.5;14
2014 02 27 17 45;-74.121;7.201;228.4;17
2014 02 28 17 15;-74.264;7.058;214.6;17
2014 03 01 19 45;-74.836;5.627;215.1;19
2014 03 02 19 45;-73.264;7.63;216.8;19
2014 03 04 17 15;-74.121;7.344;216.6;17
2014 03 07 17 15;-73.55;7.916;201.8;17
2014 03 08 15 15;-73.55;7.916;208.8;15
2014 03 09 18 45;-73.55;7.773;209.0;18
2014 03 13 19 15;-74.264;7.058;223.7;19
2014 03 14 16 15;-73.693;8.202;218.1;16
2014 03 15 07 45;-74.55;5.627;213.4;07
2014 03 21 16 45;-73.55;8.202;211.1;16
2014 03 22 17 45;-73.55;8.202;207.0;17
2014 03 25 06 45;-73.407;7.487;207.0;06
2014 04 02 13 15;-73.693;6.485;225.7;13
2014 04 02 16 15;-73.55;8.202;226.3;16
2014 04 04 16 45;-73.407;7.916;195.3;16
2014 04 05 06 15;-73.55;7.058;211.2;06
2014 04 05 18 15;-74.121;6.772;213.6;18
2014 04 06 16 45;-73.407;7.916;203.9;16
2014 04 08 14 15;-74.407;5.77;204.4;14
2014 04 09 17 45;-73.264;7.344;205.0;17
2014 04 09 17 15;-73.407;7.344;205.2;17
2014 04 10 06 15;-74.55;6.485;221.7;06
2014 04 14 14 45;-73.979;8.202;201.9;14
2014 04 16 07 15;-73.979;7.201;209.5;07
2014 04 16 12 45;-74.55;6.199;225.3;12
2014 04 16 14 15;-73.55;6.772;226.1;14
2014 04 16 17 15;-73.55;7.201;221.4;17
2014 04 17 06 15;-74.836;5.77;199.3;06
2014 04 18 18 15;-74.264;7.058;201.5;18
2014 04 20 16 45;-73.693;8.345;204.6;16
2014 04 21 06 45;-73.979;7.058;200.3;06
2014 04 23 18 15;-73.264;7.63;215.4;18
2014 04 29 13 15;-73.979;7.63;207.3;13
2014 04 30 09 45;-73.836;7.916;214.1;09
2014 05 02 19 15;-74.836;5.77;187.2;19
2014 05 02 15 15;-74.693;5.341;211.9;15
2014 05 05 07 15;-73.836;8.202;224.0;07
2014 05 10 14 15;-74.264;6.485;206.2;14
